year,value
1/22/2020,555
1/23/2020,654
1/24/2020,941
1/25/2020,1434
1/26/2020,2118
1/27/2020,2927
1/28/2020,5578
1/29/2020,6166
1/30/2020,8234
1/31/2020,9927
2/1/2020,12038
2/2/2020,16787
2/3/2020,19887
2/4/2020,23898
2/5/2020,27643
2/6/2020,30802
2/7/2020,34334
2/8/2020,37068
2/9/2020,40095
2/10/2020,42633
2/11/2020,44675
2/12/2020,46561
2/13/2020,60206
2/14/2020,66690
2/15/2020,68765
2/16/2020,70879
2/17/2020,72815
2/18/2020,74609
2/19/2020,75030
2/20/2020,75577
2/21/2020,76206
2/22/2020,77967
2/23/2020,78290
2/24/2020,78854
2/25/2020,79707
2/26/2020,80670
2/27/2020,82034
2/28/2020,83411
2/29/2020,85306
3/1/2020,87690
3/2/2020,89664
3/3/2020,92241
3/4/2020,94540
3/5/2020,97331
3/6/2020,101274
3/7/2020,105312
3/8/2020,109266
3/9/2020,113166
3/10/2020,118190
3/11/2020,125853
3/12/2020,131603
3/13/2020,146008
3/14/2020,157114
3/15/2020,168260
3/16/2020,182919
3/17/2020,198757
3/18/2020,218343
3/19/2020,246261
3/20/2020,275869
3/21/2020,308175
3/22/2020,341585
3/23/2020,383750
3/24/2020,424889
3/25/2020,475706
3/26/2020,538666
3/27/2020,603066
3/28/2020,670723
3/29/2020,730300
3/30/2020,794939
3/31/2020,871355
4/1/2020,947569
4/2/2020,1028968
4/3/2020,1112123
4/4/2020,1192586
4/5/2020,1264304
4/6/2020,1336976
4/7/2020,1413849
4/8/2020,1497624
4/9/2020,1584249
4/10/2020,1671907
4/11/2020,1748872
4/12/2020,1845653
4/13/2020,1915247
4/14/2020,1985174
4/15/2020,2066003
4/16/2020,2162715
4/17/2020,2250439
4/18/2020,2324396
4/19/2020,2404919
4/20/2020,2478258
4/21/2020,2553508
4/22/2020,2630314
4/23/2020,2719327
4/24/2020,2806267
4/25/2020,2891199
4/26/2020,2964146
4/27/2020,3032850
4/28/2020,3108149
4/29/2020,3185195
4/30/2020,3268876
5/1/2020,3355922
5/2/2020,3437608
5/3/2020,3515244
5/4/2020,3591321
5/5/2020,3671310
5/6/2020,3761332
5/7/2020,3850418
5/8/2020,3941935
5/9/2020,4027781
5/10/2020,4104027
5/11/2020,4180268
5/12/2020,4263867
5/13/2020,4348619
5/14/2020,4445724
5/15/2020,4542073
5/16/2020,4637485
5/17/2020,4715994
5/18/2020,4804278
5/19/2020,4900702
5/20/2020,5003730
5/21/2020,5110064
5/22/2020,5216964
5/23/2020,5322253
5/24/2020,5417579
5/25/2020,5504542
5/26/2020,5597064
5/27/2020,5699664
5/28/2020,5818978
5/29/2020,5940145
5/30/2020,6077978
5/31/2020,6185530
6/1/2020,6280725
6/2/2020,6401536
6/3/2020,6520924
6/4/2020,6647861
6/5/2020,6778724
6/6/2020,6914666
6/7/2020,7026925
6/8/2020,7129150
6/9/2020,7253492
6/10/2020,7387517
6/11/2020,7525631
6/12/2020,7654725
6/13/2020,7790735
6/14/2020,7924156
6/15/2020,8043794
6/16/2020,8185197
6/17/2020,8327050
6/18/2020,8466978
6/19/2020,8647784
6/20/2020,8805336
6/21/2020,8933875
6/22/2020,9071733
6/23/2020,9237071
6/24/2020,9408254
6/25/2020,9586141
6/26/2020,9777487
6/27/2020,9955597
6/28/2020,10117227
6/29/2020,10275799
6/30/2020,10449697
7/1/2020,10667386
7/2/2020,10875091
7/3/2020,11078585
7/4/2020,11272152
7/5/2020,11454847
7/6/2020,11622190
7/7/2020,11833034
7/8/2020,12044836
7/9/2020,12273063
7/10/2020,12505640
7/11/2020,12721968
7/12/2020,12914636
7/13/2020,13107415
7/14/2020,13328867
7/15/2020,13559984
7/16/2020,13812525
7/17/2020,14054563
7/18/2020,14292198
7/19/2020,14506845
7/20/2020,14713623
7/21/2020,14947078
7/22/2020,15227725
7/23/2020,15510481
7/24/2020,15791645
7/25/2020,16047190
7/26/2020,16251796
7/27/2020,16480485
